Pre_Max;Pre_Min;Pre_MinNZ;Pre_Avg;Pre_AvgNZ;Post_Max;Post_Min;Post_MinNZ;Post_Avg;Post_AvgNZ;Min_MinNZ;Plaintext;PTHeight;CTHeight;ToBeProtected_pre;ToBeProtected_post;ToBeProtected;SourceLine;SourceColumn;IsAKeyOp;IsAKeyStart;PreKeyStart;SubKey;PostKeyStart;Sbox;post_FirstToMeetKey;HasBeenMasked;Origin;ValueSize;keydep_own.count;KD_Max;KD_Min;KD_MinNZ;KD_Avg;KD_AvgNZ;FK_min;FOH_of_fk_min;BYTE_FK_min;BYTE_FOH_of_fk_min;WORD_FK_min;WORD_FOH_of_fk_minpre;pre_own;post;post_own;"Full instruction"
0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;469;0;1;1;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %arrayidx8 = getelementptr inbounds i8* %_key, i64 3, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;469;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %3 = load i8* %arrayidx8, align 1, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;469;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %conv9 = zext i8 %3 to i32, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;469;0;1;0;1;1;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %xor10 = xor i32 %xor7, %conv9, !dbg !68"
0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;470;0;1;1;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %add.ptr = getelementptr inbounds i8* %_key, i64 4, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;470;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %4 = load i8* %add.ptr, align 1, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;470;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 42912 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %conv12 = zext i8 %4 to i32, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;470;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 7256 ;"  %shl13 = shl nuw i32 %conv12, 24, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;470;0;1;1;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %arrayidx15 = getelementptr inbounds i8* %_key, i64 5, !dbg !70"
0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;470;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;128;128;128;7256 7256 7256 7256 7256 7256 7256 7256 ;"  %5 = load i8* %arrayidx15, align 1, !dbg !70"
