x y b0 b1 b2 b3 b4 b5 b6 b7 b8 b9 b10 b11 b12 b13 b14 b15 b16 b17 b18 b19 b20 b21 b22 b23 b24 b25 b26 b27 b28 b29 b30 b31 
5 2 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
6 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
7 2 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 58077 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
8 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
9 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
10 2 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
11 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
12 2 58077 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
13 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
14 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
15 2 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
16 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
17 2 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
18 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
19 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
20 2 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077  
21 2 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077  
22 2 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077  
23 2 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077  
24 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
25 2 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
26 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
27 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
28 2 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
29 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
30 2 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 58077 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
31 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
32 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
33 2 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
34 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
35 2 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
36 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
37 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
38 2 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
39 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
40 2 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
41 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
42 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
43 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
44 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
45 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
46 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
47 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
48 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
49 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
50 2 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 

0 3 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077  
1 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
2 3 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
3 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
4 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
5 3 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
6 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
7 3 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 58077 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
8 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
9 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
10 3 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
11 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
12 3 58077 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
13 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
14 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
15 3 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
16 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
17 3 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
18 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
19 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
20 3 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077  
21 3 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077  
22 3 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077  
23 3 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077  
24 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
25 3 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
26 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
27 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
28 3 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
29 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
30 3 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 58077 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
31 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
32 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
33 3 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
34 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
35 3 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
36 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
37 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
38 3 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
39 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
40 3 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
41 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
42 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
43 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
44 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
45 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
46 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
47 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
48 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
49 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
50 3 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 

0 4 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077  
1 4 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
2 4 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
3 4 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
4 4 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
5 4 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
6 4 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
7 4 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 58077 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
8 4 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
9 4 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
10 4 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
11 4 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
12 4 58077 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
13 4 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
14 4 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
15 4 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077  
16 4 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
17 4 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 27986 27986 27986 27986 58077 27986 27986 27986 27986 27986 27986 27986 27986 27986 27986 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
18 4 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
19 4 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077 58077  
20 4 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077  
21 4 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077 27986 27986 58077 58077 58077 58077 58077 58077  
