x y z
0 0 1
1 0 1
2 0 1
3 0 1
4 0 2
5 0 2
6 0 2
7 0 4
8 0 4
9 0 2
10 0 2
11 0 4
12 0 3
13 0 4
14 0 4
15 0 3
16 0 2
17 0 4
18 0 4
19 0 4
20 0 4
21 0 4
22 0 4
23 0 4
24 0 4
25 0 2
26 0 4
27 0 4
28 0 8
29 0 12
30 0 8
31 0 4
32 0 8
33 0 12
34 0 12
35 0 12
36 0 8
37 0 12
38 0 8
39 0 16
40 0 24
41 0 12
42 0 12
43 0 16
44 0 24
45 0 28
46 0 24
47 0 16
48 0 28
49 0 16
50 0 20000
0 1 24
1 1 12
2 1 16
3 1 8
4 1 36
5 1 28
6 1 12
7 1 44
8 1 36
9 1 56
10 1 56
11 1 68
12 1 68
13 1 68
14 1 20
15 1 68
16 1 48
17 1 68
18 1 68
19 1 68
20 1 68
21 1 68
22 1 72
23 1 68
24 1 68
25 1 68
26 1 72
27 1 68
28 1 96
29 1 112
30 1 96
31 1 68
32 1 100
33 1 112
34 1 116
35 1 112
36 1 100
37 1 112
38 1 100
39 1 120
40 1 128
41 1 116
42 1 112
43 1 124
44 1 128
45 1 128
46 1 128
47 1 128
48 1 124
49 1 124
50 1 20000
0 2 128
1 2 112
2 2 124
3 2 100
4 2 128
5 2 128
6 2 128
7 2 128
8 2 128
9 2 128
10 2 128
11 2 128
12 2 128
13 2 128
14 2 128
15 2 128
16 2 128
17 2 128
18 2 128
19 2 128
20 2 128
21 2 128
22 2 128
23 2 128
24 2 128
25 2 128
26 2 128
27 2 128
28 2 128
29 2 128
30 2 128
31 2 128
32 2 128
33 2 128
34 2 128
35 2 128
36 2 128
37 2 128
38 2 128
39 2 128
40 2 128
41 2 128
42 2 128
43 2 128
44 2 128
45 2 128
46 2 128
47 2 128
48 2 20000
49 2 20000
50 2 20000
0 3 128
1 3 128
2 3 128
3 3 128
4 3 128
5 3 128
6 3 128
7 3 128
8 3 128
9 3 128
10 3 128
11 3 128
12 3 128
13 3 128
14 3 128
15 3 128
16 3 128
17 3 128
18 3 128
19 3 128
20 3 128
21 3 128
22 3 128
23 3 128
24 3 128
25 3 128
26 3 128
27 3 128
28 3 128
29 3 128
30 3 128
31 3 128
32 3 128
33 3 128
34 3 128
35 3 128
36 3 128
37 3 128
38 3 128
39 3 128
40 3 128
41 3 128
42 3 128
43 3 128
44 3 128
45 3 128
46 3 128
47 3 128
48 3 128
49 3 128
50 3 20000
0 4 128
1 4 128
2 4 128
3 4 128
4 4 128
5 4 128
6 4 128
7 4 128
8 4 128
9 4 128
10 4 128
11 4 128
12 4 128
13 4 128
14 4 128
15 4 128
16 4 128
17 4 128
18 4 128
19 4 128
20 4 128
21 4 128
22 4 128
23 4 128
24 4 128
25 4 128
26 4 128
27 4 128
28 4 128
29 4 128
30 4 128
31 4 128
32 4 128
33 4 128
34 4 128
35 4 128
36 4 128
37 4 128
38 4 128
39 4 128
40 4 128
41 4 128
42 4 128
43 4 128
44 4 128
45 4 128
46 4 128
47 4 128
48 4 128
49 4 128
50 4 128
0 5 128
1 5 128
2 5 128
3 5 128
4 5 128
5 5 128
6 5 128
7 5 128
8 5 128
9 5 128
10 5 128
11 5 128
12 5 128
13 5 128
14 5 128
15 5 128
16 5 128
17 5 128
18 5 128
19 5 128
20 5 128
21 5 128
22 5 128
23 5 128
24 5 128
25 5 128
26 5 128
27 5 128
28 5 128
29 5 128
30 5 128
31 5 128
32 5 128
33 5 128
34 5 128
35 5 128
36 5 128
37 5 128
38 5 128
39 5 128
40 5 128
41 5 128
42 5 128
43 5 128
44 5 128
45 5 128
46 5 128
47 5 128
48 5 128
49 5 20000
50 5 20000
0 6 128
1 6 128
2 6 128
3 6 128
4 6 128
5 6 128
6 6 128
7 6 128
8 6 128
9 6 128
10 6 128
11 6 128
12 6 128
13 6 128
14 6 128
15 6 128
16 6 128
17 6 128
18 6 128
19 6 128
20 6 128
21 6 128
22 6 128
23 6 128
24 6 128
25 6 128
26 6 128
27 6 128
28 6 128
29 6 128
30 6 128
31 6 128
32 6 128
33 6 128
34 6 128
35 6 128
36 6 128
37 6 128
38 6 128
39 6 128
40 6 128
41 6 128
42 6 128
43 6 128
44 6 128
45 6 128
46 6 128
47 6 128
48 6 128
49 6 128
50 6 128
0 7 128
1 7 128
2 7 128
3 7 128
4 7 128
5 7 128
6 7 128
7 7 128
8 7 128
9 7 128
10 7 128
11 7 128
12 7 128
13 7 128
14 7 128
15 7 128
16 7 128
17 7 128
18 7 128
19 7 128
20 7 128
21 7 128
22 7 128
23 7 128
24 7 128
25 7 128
26 7 128
27 7 128
28 7 128
29 7 128
30 7 128
31 7 128
32 7 128
33 7 128
34 7 128
35 7 128
36 7 128
37 7 128
38 7 128
39 7 128
40 7 128
41 7 128
42 7 128
43 7 128
44 7 128
45 7 128
46 7 128
47 7 128
48 7 128
49 7 128
50 7 128
0 8 128
1 8 128
2 8 128
3 8 128
4 8 128
5 8 128
6 8 128
7 8 128
8 8 128
